Network Reference ID,Parent Network Reference ID,Substation Name,Substation Number,Asset Type,Latitude,Longitude,Bulk Supply Point Name,Primary Substation
314689,314539,Grantham 33kv S Stn,910003,BSP,52.9242,-0.5889,Grantham,
314929,314690,Grantham North 11kv S Stn,910018,Primary,52.9374,-0.6471,,
314690,314539,Grantham North 132/25/11kv,690031,BSP,52.9378,-0.6467,Grantham North 132 11,Grantham North 132 11
315240,314691,Grantham South 11kv S Stn,910036,Primary,52.9041,-0.6378,,
314691,314542,Grantham South 132/11kv,690032,BSP,52.904,-0.6384,Grantham South 132 11,Grantham South 132 11
315155,314664,Grassmoor 33 11kv S Stn,890084,Primary,53.1997,-1.384,Chesterfield 33,Grassmoor
314935,420014,Great Alne 66/11kv,670105,Primary,52.234,-1.8114,Great Alne 66 11 (T1),Great Alne 66 11
315225,314707,Great Hale 33/11kv,900023,Primary,52.9684,-0.2946,Sleaford,Great Hale
15150,19,Great Torrington,260270,Primary,50.9565,-4.1329,BARNSTAPLE 33kV,GREAT TORRINGTON 11kV
314567,,Grendon 400/132kv,690007,GSP,52.2433,-0.7257,,
315400,314670,Gresley 11kv S Stn,870053,Primary,52.7582,-1.5895,Burton South,Gresley
314670,314550,Gresley 33kv S Stn,870010,BSP,52.7582,-1.5898,Gresley,
315100,314650,Groby Road 33/11kv,920027,Primary,52.6505,-1.173,Leicester North,Groby Road
314856,314581,Gulson Road 33 6 6kv S Stn,930043,Primary,52.4073,-1.4911,Whitley,Gulson Road 6.6
339,27,Gunnislake,457270,Primary,50.5192,-4.226,LANDULPH 33kV,GUNNISLAKE 11kV
